timestamp,id,type,name,result,content
1607539979743,"a68b61b5-104f-4633-8d60-419979a446a9","task","sendNotification","OK","{""took"":186,""emitted"":""sendNotificationFinished"",""invokedBy"":""movedInsideAreaOfInterest"",""outcome"":{}}"
1607539989157,"929a6315-0889-4782-9a43-60ad9f194171","task","acquirePhoneGeolocation","OK","{""took"":11133,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":{""type"":""geolocation"",""latitude"":40.059982,""longitude"":-0.1376933,""altitude"":239.5,""verticalAccuracy"":16.224,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:53:10.167Z"",""direction"":0,""horizontalAccuracy"":16.224}}"
1607539989166,"356ea0f9-96ee-4de8-bbe3-08a296d15170","task","acquireMultiplePhoneGeolocation","OK","{""took"":50053,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.059982,""longitude"":-0.1376933,""altitude"":239.5,""verticalAccuracy"":16.224,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:53:10.167Z"",""direction"":0,""horizontalAccuracy"":16.224},{""type"":""geolocation"",""latitude"":40.05998,""longitude"":-0.1377088,""altitude"":239.5,""verticalAccuracy"":18.396,""change"":""none"",""speed"":0.0119467825,""timestamp"":""2020-12-09T18:53:20.247Z"",""direction"":254.64365,""horizontalAccuracy"":18.396},{""type"":""geolocation"",""latitude"":40.059986,""longitude"":-0.1377221,""altitude"":239.5,""verticalAccuracy"":19.09,""change"":""none"",""speed"":0.14884251,""timestamp"":""2020-12-09T18:53:28.577Z"",""direction"":304.0208,""horizontalAccuracy"":19.09},{""type"":""geolocation"",""latitude"":40.060017,""longitude"":-0.1377177,""altitude"":239.40001,""verticalAccuracy"":22.364,""change"":""none"",""speed"":0.41207102,""timestamp"":""2020-12-09T18:53:35.246Z"",""direction"":1.5610803,""horizontalAccuracy"":22.364},{""type"":""geolocation"",""latitude"":40.06004,""longitude"":-0.1377426,""altitude"":239.40001,""verticalAccuracy"":24.186,""change"":""none"",""speed"":0.33277625,""timestamp"":""2020-12-09T18:53:45.406Z"",""direction"":329.49866,""horizontalAccuracy"":24.186}]}"
1607540000530,"69cf0a78-bdc9-41f4-9f40-7c6dcb0cf16c","task","checkAreaOfInterestProximity","OK","{""took"":17,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540039533,"16628bec-1129-4169-bb3f-136ea70a0abe","task","checkAreaOfInterestProximity","OK","{""took"":54,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540049317,"32987d5d-858a-4a3b-944d-622e7be68a0f","task","acquireMultiplePhoneGeolocation","OK","{""took"":50045,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.059944,""longitude"":-0.1377155,""altitude"":239.5,""verticalAccuracy"":23.684,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:54:10.396Z"",""direction"":0,""horizontalAccuracy"":23.684},{""type"":""geolocation"",""latitude"":40.059933,""longitude"":-0.1377214,""altitude"":239.5,""verticalAccuracy"":24.459,""change"":""none"",""speed"":0.0045695854,""timestamp"":""2020-12-09T18:54:18.378Z"",""direction"":202.47559,""horizontalAccuracy"":24.459},{""type"":""geolocation"",""latitude"":40.059925,""longitude"":-0.1377269,""altitude"":239.5,""verticalAccuracy"":25.862,""change"":""none"",""speed"":0.1200467,""timestamp"":""2020-12-09T18:54:25.397Z"",""direction"":206.47437,""horizontalAccuracy"":25.862},{""type"":""geolocation"",""latitude"":40.059925,""longitude"":-0.1377259,""altitude"":239.5,""verticalAccuracy"":25.13,""change"":""none"",""speed"":0.0040175794,""timestamp"":""2020-12-09T18:54:35.567Z"",""direction"":232.88675,""horizontalAccuracy"":25.13},{""type"":""geolocation"",""latitude"":40.059944,""longitude"":-0.1377108,""altitude"":239.5,""verticalAccuracy"":22.196,""change"":""none"",""speed"":0.19382617,""timestamp"":""2020-12-09T18:54:45.506Z"",""direction"":30.754484,""horizontalAccuracy"":22.196}]}"
1607540099686,"4f8098d1-eb36-450d-887e-5c05d3eb868e","task","checkAreaOfInterestProximity","OK","{""took"":52,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540109368,"aeea6b5b-d83d-4097-a1c9-eeee45b0eb65","task","sendNotification","OK","{""took"":27,""emitted"":""sendNotificationFinished"",""invokedBy"":""taskExecutionStarted"",""outcome"":{}}"
1607540109553,"83d88529-46de-45bb-9488-d153135d5afb","task","acquirePhoneGeolocation","OK","{""took"":16143,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":{""type"":""geolocation"",""latitude"":40.059963,""longitude"":-0.1377028,""altitude"":239.5,""verticalAccuracy"":21.913,""change"":""none"",""speed"":0.0011015632,""timestamp"":""2020-12-09T18:55:25.603Z"",""direction"":235.5306,""horizontalAccuracy"":21.913}}"
1607540109562,"14309ff8-c72a-413f-8bbc-03b8623f2a71","task","acquireMultiplePhoneGeolocation","OK","{""took"":50025,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.059963,""longitude"":-0.1376969,""altitude"":239.5,""verticalAccuracy"":21.311,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:55:10.527Z"",""direction"":0,""horizontalAccuracy"":21.311},{""type"":""geolocation"",""latitude"":40.059963,""longitude"":-0.1377027,""altitude"":239.5,""verticalAccuracy"":21.913,""change"":""none"",""speed"":0.002240475,""timestamp"":""2020-12-09T18:55:17.463Z"",""direction"":235.5306,""horizontalAccuracy"":21.913},{""type"":""geolocation"",""latitude"":40.05996,""longitude"":-0.1377088,""altitude"":239.5,""verticalAccuracy"":21.533,""change"":""none"",""speed"":0.04598109,""timestamp"":""2020-12-09T18:55:35.596Z"",""direction"":261.0492,""horizontalAccuracy"":21.533},{""type"":""geolocation"",""latitude"":40.059948,""longitude"":-0.1377173,""altitude"":239.5,""verticalAccuracy"":22.279,""change"":""none"",""speed"":0.122802734,""timestamp"":""2020-12-09T18:55:45.714Z"",""direction"":212.84451,""horizontalAccuracy"":22.279},{""type"":""geolocation"",""latitude"":40.059948,""longitude"":-0.1377185,""altitude"":239.5,""verticalAccuracy"":22.279,""change"":""none"",""speed"":0.043881875,""timestamp"":""2020-12-09T18:55:55.708Z"",""direction"":208.12657,""horizontalAccuracy"":22.279}]}"
1607540125956,"572e5cd0-6521-44dd-99f2-922636a7f1bb","task","checkAreaOfInterestProximity","OK","{""took"":17,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540134629,"980ccf62-1e54-42de-b49f-b32234767f85","event","questionsAnswered","OK","{""type"":""questionnaire-answers"",""change"":""none"",""timestamp"":""2020-12-09T18:55:34.430Z"",""answers"":[{""title"":""From 1 to 10, how anxious do you feel?"",""answer"":3,""millisecondsToAnswer"":21366}]}"
1607540159912,"c72259b8-b131-4449-bc88-be98fa24fcbf","task","checkAreaOfInterestProximity","OK","{""took"":52,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540169531,"3669fde3-29ac-460c-8185-215633d9f0a9","task","acquireMultiplePhoneGeolocation","OK","{""took"":50058,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":[{""type"":""geolocation"",""latitude"":40.059944,""longitude"":-0.1377327,""altitude"":239.5,""verticalAccuracy"":24.649,""change"":""none"",""speed"":0.009598644,""timestamp"":""2020-12-09T18:56:10.586Z"",""direction"":243.89708,""horizontalAccuracy"":24.649},{""type"":""geolocation"",""latitude"":40.059948,""longitude"":-0.1377302,""altitude"":239.5,""verticalAccuracy"":25.283,""change"":""none"",""speed"":0.0395624,""timestamp"":""2020-12-09T18:56:20.595Z"",""direction"":26.78652,""horizontalAccuracy"":25.283},{""type"":""geolocation"",""latitude"":40.05995,""longitude"":-0.1377244,""altitude"":239.5,""verticalAccuracy"":21.964,""change"":""none"",""speed"":0.081725344,""timestamp"":""2020-12-09T18:56:30.472Z"",""direction"":31.986258,""horizontalAccuracy"":21.964},{""type"":""geolocation"",""latitude"":40.059937,""longitude"":-0.1377512,""altitude"":239.5,""verticalAccuracy"":24.394,""change"":""none"",""speed"":0.21846934,""timestamp"":""2020-12-09T18:56:40.634Z"",""direction"":233.3926,""horizontalAccuracy"":24.394},{""type"":""geolocation"",""latitude"":40.059925,""longitude"":-0.1377496,""altitude"":239.5,""verticalAccuracy"":26.592,""change"":""none"",""speed"":0.14931126,""timestamp"":""2020-12-09T18:56:50.637Z"",""direction"":190.22694,""horizontalAccuracy"":26.592}]}"
1607540220035,"c9bd27cc-eb9f-4bfc-919c-bcb8682d1f6a","task","checkAreaOfInterestProximity","OK","{""took"":54,""emitted"":""checkAreaOfInterestProximityFinished"",""invokedBy"":""geolocationAcquired"",""outcome"":null}"
1607540229628,"8540dfed-d301-4ae7-8ab3-d54a8795254b","task","sendNotification","OK","{""took"":29,""emitted"":""sendNotificationFinished"",""invokedBy"":""taskExecutionStarted"",""outcome"":{}}"
1607540229879,"e98a0d11-3cc0-4756-89a4-9e6b6653b878","task","acquirePhoneGeolocation","OK","{""took"":11128,""emitted"":""geolocationAcquired"",""invokedBy"":""taskExecutionStarted"",""outcome"":{""type"":""geolocation"",""latitude"":40.059925,""longitude"":-0.1377461,""altitude"":239.5,""verticalAccuracy"":26.592,""change"":""none"",""speed"":0,""timestamp"":""2020-12-09T18:57:10.906Z"",""direction"":0,""horizontalAccuracy"":26.592}}"
