battery,exec_timestamp,planning_timestamp,task
78,1636147470462,1636147392798,"dummy"
77,1636147517215,1636147470438,"dummy"
77,1636147573521,1636147517204,"dummy"
77,1636147633525,1636147573508,"dummy"
77,1636147693521,1636147633509,"dummy"
77,1636147752680,1636147693508,"dummy"
77,1636147813580,1636147752674,"dummy"
77,1636147873520,1636147813540,"dummy"
77,1636147932808,1636147873509,"dummy"
77,1636148023520,1636147932797,"dummy"
77,1636148052673,1636148023506,"dummy"
77,1636148113525,1636148052628,"dummy"
77,1636148173520,1636148113509,"dummy"
77,1636148233540,1636148173508,"dummy"
77,1636148292665,1636148233532,"dummy"
77,1636148353537,1636148292657,"dummy"
77,1636148413517,1636148353525,"dummy"
77,1636148473516,1636148413507,"dummy"
77,1636148533572,1636148473507,"dummy"
77,1636148593555,1636148533533,"dummy"
78,1636148653531,1636148593511,"dummy"
78,1636148713525,1636148653517,"dummy"
78,1636148772716,1636148713511,"dummy"
78,1636148833528,1636148772708,"dummy"
78,1636148892663,1636148833513,"dummy"
78,1636148952580,1636148892656,"dummy"
78,1636149013540,1636148952571,"dummy"
78,1636149073517,1636149013530,"dummy"
78,1636149133514,1636149073505,"dummy"
78,1636149192900,1636149133505,"dummy"
78,1636149253574,1636149192892,"dummy"
78,1636149313517,1636149253517,"dummy"
78,1636149373517,1636149313508,"dummy"
78,1636149433526,1636149373506,"dummy"
78,1636149493521,1636149433513,"dummy"
78,1636149553515,1636149493510,"dummy"
78,1636149613517,1636149553507,"dummy"
78,1636149673542,1636149613508,"dummy"
78,1636149733520,1636149673534,"dummy"
78,1636149823540,1636149733510,"dummy"
78,1636149852658,1636149823509,"dummy"
78,1636149913540,1636149852651,"dummy"
78,1636149972808,1636149913527,"dummy"
78,1636150033546,1636149972800,"dummy"
78,1636150109554,1636150033512,"dummy"
78,1636150153521,1636150109541,"dummy"
78,1636150213541,1636150153510,"dummy"
78,1636150273519,1636150213533,"dummy"
78,1636150333518,1636150273508,"dummy"
78,1636150393517,1636150333509,"dummy"
78,1636150453517,1636150393510,"dummy"
77,1636150512724,1636150453507,"dummy"
78,1636150573548,1636150512714,"dummy"
78,1636150672953,1636150573533,"dummy"
78,1636150693546,1636150672944,"dummy"
78,1636150753517,1636150693535,"dummy"
78,1636150813518,1636150753508,"dummy"
78,1636150873521,1636150813507,"dummy"
78,1636150973550,1636150873508,"dummy"
77,1636150992638,1636150973535,"dummy"
78,1636151093612,1636150992629,"dummy"
78,1636151113513,1636151093549,"dummy"
78,1636151173519,1636151113504,"dummy"
78,1636151233520,1636151173508,"dummy"
78,1636151293516,1636151233506,"dummy"
78,1636151353520,1636151293507,"dummy"
77,1636151412684,1636151353510,"dummy"
78,1636151472660,1636151412677,"dummy"
78,1636151533518,1636151472651,"dummy"
78,1636151593521,1636151533507,"dummy"
78,1636151653517,1636151593507,"dummy"
78,1636151713518,1636151653507,"dummy"
78,1636151773520,1636151713510,"dummy"
78,1636151833538,1636151773509,"dummy"
78,1636151909635,1636151833531,"dummy"
78,1636151952649,1636151909625,"dummy"
78,1636152013560,1636151952641,"dummy"
78,1636152073515,1636152013509,"dummy"
78,1636152133517,1636152073508,"dummy"
78,1636152193519,1636152133506,"dummy"
78,1636152253518,1636152193507,"dummy"
78,1636152313541,1636152253507,"dummy"
78,1636152373518,1636152313533,"dummy"
78,1636152464538,1636152373508,"dummy"
78,1636152493545,1636152464530,"dummy"
78,1636152574517,1636152493530,"dummy"
78,1636152613518,1636152574508,"dummy"
78,1636152673517,1636152613507,"dummy"
78,1636152733526,1636152673507,"dummy"
78,1636152793519,1636152733507,"dummy"
78,1636152853518,1636152793508,"dummy"
78,1636152913517,1636152853507,"dummy"
78,1636152973518,1636152913507,"dummy"
78,1636153033519,1636152973509,"dummy"
78,1636153093522,1636153033509,"dummy"
78,1636153152585,1636153093511,"dummy"
78,1636153213521,1636153152577,"dummy"
78,1636153272642,1636153213511,"dummy"
78,1636153333518,1636153272636,"dummy"
78,1636153393525,1636153333508,"dummy"
78,1636153453529,1636153393512,"dummy"
78,1636153513540,1636153453518,"dummy"
78,1636153573520,1636153513532,"dummy"
78,1636153633518,1636153573509,"dummy"
78,1636153709670,1636153633508,"dummy"
78,1636153753523,1636153709662,"dummy"
78,1636153813519,1636153753508,"dummy"
78,1636153873515,1636153813507,"dummy"
78,1636153933517,1636153873506,"dummy"
78,1636153993517,1636153933508,"dummy"
78,1636154053517,1636153993508,"dummy"
78,1636154113520,1636154053508,"dummy"
78,1636154173527,1636154113506,"dummy"
78,1636154274657,1636154173512,"dummy"
78,1636154314952,1636154274645,"dummy"
78,1636157350622,1636154314935,"dummy"
78,1636157352861,1636157350614,"dummy"
78,1636164031540,1636157352821,"dummy"
77,1636177705263,1636164031518,"dummy"
77,1636184404818,1636177705206,"dummy"
76,1636184435055,1636184404783,"dummy"
75,1636184478585,1636184434737,"dummy"
73,1636184577584,1636184478523,"dummy"
72,1636184592861,1636184574632,"dummy"
71,1636184653355,1636184592815,"dummy"
71,1636184712778,1636184653315,"dummy"
71,1636184810525,1636184712766,"dummy"
71,1636184832653,1636184810510,"dummy"
71,1636184892653,1636184832645,"dummy"
71,1636184952627,1636184892645,"dummy"
71,1636185013540,1636184952618,"dummy"
71,1636185110574,1636185013528,"dummy"
71,1636185133523,1636185110519,"dummy"
71,1636185193518,1636185133511,"dummy"
71,1636185253523,1636185193506,"dummy"
72,1636185312654,1636185253509,"dummy"
72,1636185373523,1636185312647,"dummy"
72,1636185433518,1636185373510,"dummy"
72,1636185493519,1636185433508,"dummy"
72,1636185553521,1636185493508,"dummy"
72,1636185613521,1636185553510,"dummy"
72,1636185673517,1636185613509,"dummy"
72,1636185733604,1636185673507,"dummy"
72,1636185792687,1636185733537,"dummy"
72,1636185853558,1636185792643,"dummy"
72,1636185913533,1636185853530,"dummy"
72,1636185973526,1636185913512,"dummy"
72,1636186033524,1636185973511,"dummy"
72,1636186119815,1636186033507,"dummy"
72,1636186153108,1636186119774,"dummy"
72,1636186212641,1636186152817,"dummy"
73,1636186273549,1636186212634,"dummy"
73,1636186333730,1636186273530,"dummy"
73,1636186393521,1636186333508,"dummy"
73,1636186452728,1636186393508,"dummy"
73,1636186513592,1636186452643,"dummy"
73,1636186573530,1636186513565,"dummy"
73,1636186639516,1636186573508,"dummy"
73,1636186692577,1636186639506,"dummy"
73,1636186753553,1636186692557,"dummy"
73,1636186813527,1636186753537,"dummy"
73,1636186873522,1636186813509,"dummy"
73,1636186933519,1636186873512,"dummy"
73,1636186993518,1636186933510,"dummy"
73,1636187053519,1636186993507,"dummy"
73,1636187113536,1636187053505,"dummy"
73,1636187173515,1636187113509,"dummy"
73,1636187233543,1636187173507,"dummy"
73,1636187293521,1636187233510,"dummy"
73,1636187353515,1636187293508,"dummy"
73,1636187413517,1636187353506,"dummy"
73,1636187473520,1636187413507,"dummy"
73,1636187533517,1636187473507,"dummy"
73,1636187593514,1636187533506,"dummy"
73,1636187653517,1636187593505,"dummy"
73,1636187713519,1636187653508,"dummy"
73,1636187773515,1636187713509,"dummy"
74,1636187833526,1636187773506,"dummy"
73,1636187919559,1636187833511,"dummy"
73,1636187952715,1636187919520,"dummy"
73,1636188012621,1636187952584,"dummy"
73,1636188073570,1636188012552,"dummy"
73,1636188159582,1636188073551,"dummy"
73,1636188192813,1636188159573,"dummy"
73,1636188253591,1636188192798,"dummy"
73,1636188312681,1636188253508,"dummy"
74,1636191640651,1636188312653,"dummy"
74,1636198396192,1636191640638,"dummy"
74,1636198398187,1636198395019,"dummy"
73,1636212663720,1636198398135,"dummy"
