"INSTANT","TAKES","LAT","LON","ALT","VACC","HACC","SPD","DIR"
1791407,10010,40.06,-0.1376794,239.40001,15.57,15.57,0.0105946865,338.1181
1811367,10007,40.05997,-0.1377127,239.40001,16.314,16.314,0,0
1821374,10007,40.05997,-0.1377619,239.40001,15.876,15.876,0.37456477,270.97757
1831381,10007,40.059967,-0.1377503,239.5,19.974,19.974,0.0120428465,101.842995
1841388,10007,40.059853,-0.1377444,240,25.469,25.469,1.1395843,177.71854
1851395,10007,40.059517,-0.137865,240.1,27.326,27.326,3.2407212,193.99849
1871367,10012,40.05942,-0.1379412,240.20001,23.825,23.825,0,0
1881379,10012,40.05959,-0.1378943,240.40001,29.155,29.155,0.08017696,12.082055
1891391,10012,40.059395,-0.1379659,240.40001,27.414,27.414,1.617567,195.9898
1901403,10012,40.05929,-0.1380188,240.40001,21.36,21.36,1.3874875,198.84196
1911415,10012,40.059128,-0.1381248,238.40001,23.216,23.216,1.9389243,203.16563
1931367,10010,40.058647,-0.1389527,233.90001,21.118,21.118,0,0
1941377,10010,40.058643,-0.1389537,233.90001,20.877,20.877,0.001530414,197.0222
1951387,10010,40.058712,-0.1390628,233.90001,18.656,18.656,0.9895735,308.18433
1961397,10010,40.05875,-0.1391156,233.90001,19.115,19.115,0.77917784,312.1174
1971407,10010,40.05878,-0.1392924,234.5,46.074,46.074,1.1246057,292.17264
1991367,10007,40.05894,-0.139954,234.5,34.183,34.183,0,0
2001374,10007,40.058914,-0.1399993,233.8,15.02,15.02,0.051119443,268.4333
2011381,10007,40.058918,-0.1400025,234.40001,12.826,12.826,0.06582875,333.43665
2021388,10007,40.058918,-0.1400082,238.5,13.012,13.012,0.04252005,273.86487
2031395,10007,40.05892,-0.140009,238.5,13.012,13.012,0.02854048,308.82312
2051367,10007,40.058964,-0.140015,234.40001,30.425,30.425,0,0
2061374,10007,40.05983,-0.1397402,234.6,20.676,20.676,0.26142412,13.673641
2071381,10007,40.059772,-0.1397596,234.6,27.589,27.589,0.51664555,194.80884
